Term : alkohol || tf : 1.0 || idf : 3.2188758248682006
Term : asam || tf : 3.0 || idf : 2.120263536200091
Term : baik || tf : 4.0 || idf : 3.2188758248682006
Term : bioetanol || tf : 2.0 || idf : 3.2188758248682006
Term : biologis || tf : 1.0 || idf : 3.2188758248682006
Term : cerevisiae || tf : 1.0 || idf : 3.2188758248682006
Term : dapat || tf : 1.0 || idf : 2.120263536200091
Term : dengam || tf : 1.0 || idf : 2.5257286443082556
Term : etanol || tf : 1.0 || idf : 2.5257286443082556
Term : fermentasi || tf : 2.0 || idf : 3.2188758248682006
Term : glukosa || tf : 3.0 || idf : 2.120263536200091
Term : h2so4 || tf : 3.0 || idf : 3.2188758248682006
Term : hasil || tf : 6.0 || idf : 0.17435338714477774
Term : hidrolisis || tf : 5.0 || idf : 2.120263536200091
Term : jam || tf : 1.0 || idf : 2.5257286443082556
Term : kadar || tf : 1.0 || idf : 2.120263536200091
Term : kering || tf : 1.0 || idf : 3.2188758248682006
Term : kimia || tf : 1.0 || idf : 2.5257286443082556
Term : kulit || tf : 2.0 || idf : 3.2188758248682006
Term : larut || tf : 1.0 || idf : 2.5257286443082556
Term : lignin || tf : 1.0 || idf : 2.5257286443082556
Term : mana || tf : 1.0 || idf : 1.8325814637483102
Term : menit || tf : 1.0 || idf : 1.8325814637483102
Term : mikroorganisme || tf : 1.0 || idf : 3.2188758248682006
Term : naoh || tf : 2.0 || idf : 3.2188758248682006
Term : padat || tf : 1.0 || idf : 3.2188758248682006
Term : peroleh || tf : 1.0 || idf : 1.0216512475319812
Term : pretreatment || tf : 1.0 || idf : 3.2188758248682006
Term : proses || tf : 3.0 || idf : 1.1394342831883648
Term : ragi || tf : 1.0 || idf : 3.2188758248682006
Term : rendam || tf : 1.0 || idf : 2.5257286443082556
Term : saccharomyces || tf : 1.0 || idf : 3.2188758248682006
Term : senyawa || tf : 1.0 || idf : 2.5257286443082556
Term : singkong || tf : 2.0 || idf : 3.2188758248682006
Term : sisa || tf : 1.0 || idf : 2.120263536200091
Term : stilasi || tf : 1.0 || idf : 3.2188758248682006
Term : substrat || tf : 1.0 || idf : 3.2188758248682006
Term : tepung || tf : 1.0 || idf : 3.2188758248682006
Term : tinggi || tf : 1.0 || idf : 3.2188758248682006
Term : trichoderma || tf : 1.0 || idf : 3.2188758248682006
Term : tviride || tf : 1.0 || idf : 3.2188758248682006
Term : v || tf : 2.0 || idf : 3.2188758248682006
Term : variasi || tf : 1.0 || idf : 3.2188758248682006
