Term : air || tf : 1.0 || idf : 1.8325814637483102
Term : alam || tf : 1.0 || idf : 1.8325814637483102
Term : ameter || tf : 1.0 || idf : 3.2188758248682006
Term : aruh || tf : 1.0 || idf : 1.4271163556401458
Term : bahan || tf : 1.0 || idf : 1.8325814637483102
Term : benih || tf : 9.0 || idf : 2.5257286443082556
Term : bobot || tf : 3.0 || idf : 3.2188758248682006
Term : buah || tf : 7.0 || idf : 3.2188758248682006
Term : budidaya || tf : 1.0 || idf : 3.2188758248682006
Term : bunga || tf : 2.0 || idf : 2.5257286443082556
Term : butir || tf : 1.0 || idf : 3.2188758248682006
Term : caba || tf : 3.0 || idf : 3.2188758248682006
Term : camat || tf : 1.0 || idf : 3.2188758248682006
Term : comexio || tf : 2.0 || idf : 3.2188758248682006
Term : dasar || tf : 1.0 || idf : 0.9162907318741551
Term : daya || tf : 2.0 || idf : 2.120263536200091
Term : desa || tf : 1.0 || idf : 3.2188758248682006
Term : desember || tf : 1.0 || idf : 3.2188758248682006
Term : factor || tf : 1.0 || idf : 3.2188758248682006
Term : fisiologis || tf : 2.0 || idf : 2.5257286443082556
Term : gunkan || tf : 1.0 || idf : 3.2188758248682006
Term : hasil || tf : 3.0 || idf : 0.17435338714477774
Term : ilik || tf : 2.0 || idf : 1.8325814637483102
Term : januar || tf : 1.0 || idf : 3.2188758248682006
Term : kabupaten || tf : 1.0 || idf : 3.2188758248682006
Term : kadar || tf : 1.0 || idf : 2.120263536200091
Term : kecambah || tf : 2.0 || idf : 2.5257286443082556
Term : kualitas || tf : 1.0 || idf : 2.5257286443082556
Term : laboratorium || tf : 1.0 || idf : 3.2188758248682006
Term : laju || tf : 1.0 || idf : 2.5257286443082556
Term : laksana || tf : 2.0 || idf : 2.120263536200091
Term : laku || tf : 1.0 || idf : 1.6094379124341003
Term : malang || tf : 1.0 || idf : 3.2188758248682006
Term : masak || tf : 3.0 || idf : 3.2188758248682006
Term : mekar || tf : 1.0 || idf : 3.2188758248682006
Term : mundur || tf : 1.0 || idf : 3.2188758248682006
Term : musim || tf : 3.0 || idf : 3.2188758248682006
Term : nyata || tf : 2.0 || idf : 2.120263536200091
Term : pandesar || tf : 1.0 || idf : 3.2188758248682006
Term : panen || tf : 3.0 || idf : 3.2188758248682006
Term : parameter || tf : 1.0 || idf : 2.120263536200091
Term : pengaruh || tf : 2.0 || idf : 2.5257286443082556
Term : produksi || tf : 1.0 || idf : 2.5257286443082556
Term : produktivitas || tf : 1.0 || idf : 3.2188758248682006
Term : pujon || tf : 1.0 || idf : 3.2188758248682006
Term : rak || tf : 1.0 || idf : 3.2188758248682006
Term : ral || tf : 1.0 || idf : 2.5257286443082556
Term : rancang || tf : 1.0 || idf : 1.8325814637483102
Term : ratarata || tf : 2.0 || idf : 1.4271163556401458
Term : rawit || tf : 3.0 || idf : 3.2188758248682006
Term : salah || tf : 2.0 || idf : 1.2729656758128876
Term : segar || tf : 2.0 || idf : 3.2188758248682006
Term : tanam || tf : 3.0 || idf : 3.2188758248682006
Term : teliti || tf : 4.0 || idf : 0.17435338714477774
Term : tingkat || tf : 1.0 || idf : 1.2729656758128876
Term : tuju || tf : 2.0 || idf : 0.5798184952529422
Term : tumbuh || tf : 1.0 || idf : 3.2188758248682006
Term : umur || tf : 2.0 || idf : 3.2188758248682006
Term : urun || tf : 1.0 || idf : 2.120263536200091
Term : varietas || tf : 3.0 || idf : 3.2188758248682006
Term : viabilitas || tf : 1.0 || idf : 2.5257286443082556
