Term : 0c || tf : 1.0 || idf : 3.2188758248682006
Term : 28290c || tf : 1.0 || idf : 3.2188758248682006
Term : ac || tf : 2.0 || idf : 3.2188758248682006
Term : acak || tf : 1.0 || idf : 3.2188758248682006
Term : alam || tf : 2.0 || idf : 1.8325814637483102
Term : amat || tf : 1.0 || idf : 2.5257286443082556
Term : analisis || tf : 1.0 || idf : 1.1394342831883648
Term : aruh || tf : 1.0 || idf : 1.4271163556401458
Term : aspek || tf : 1.0 || idf : 2.5257286443082556
Term : beda || tf : 2.0 || idf : 2.120263536200091
Term : benih || tf : 6.0 || idf : 2.5257286443082556
Term : biokimia || tf : 2.0 || idf : 3.2188758248682006
Term : cenderung || tf : 2.0 || idf : 2.5257286443082556
Term : cepat || tf : 2.0 || idf : 2.120263536200091
Term : coba || tf : 1.0 || idf : 2.120263536200091
Term : daya || tf : 5.0 || idf : 2.120263536200091
Term : faktorfaktor || tf : 1.0 || idf : 3.2188758248682006
Term : faktorial || tf : 1.0 || idf : 3.2188758248682006
Term : fisik || tf : 1.0 || idf : 3.2188758248682006
Term : fisiolog || tf : 1.0 || idf : 3.2188758248682006
Term : fisiologis || tf : 3.0 || idf : 2.5257286443082556
Term : hantar || tf : 2.0 || idf : 3.2188758248682006
Term : hasil || tf : 1.0 || idf : 0.17435338714477774
Term : iode || tf : 1.0 || idf : 3.2188758248682006
Term : ka || tf : 1.0 || idf : 3.2188758248682006
Term : kali || tf : 1.0 || idf : 1.4271163556401458
Term : kamar || tf : 2.0 || idf : 2.5257286443082556
Term : kandung || tf : 3.0 || idf : 2.120263536200091
Term : kecambah || tf : 7.0 || idf : 2.5257286443082556
Term : laku || tf : 1.0 || idf : 1.6094379124341003
Term : lemak || tf : 2.0 || idf : 2.120263536200091
Term : lengkap || tf : 1.0 || idf : 2.5257286443082556
Term : liput || tf : 3.0 || idf : 3.2188758248682006
Term : listrik || tf : 2.0 || idf : 2.5257286443082556
Term : minggu || tf : 2.0 || idf : 3.2188758248682006
Term : nila || tf : 3.0 || idf : 1.2729656758128876
Term : nyata || tf : 2.0 || idf : 2.120263536200091
Term : parameter || tf : 2.0 || idf : 2.120263536200091
Term : pati || tf : 2.0 || idf : 3.2188758248682006
Term : proses || tf : 1.0 || idf : 1.1394342831883648
Term : protein || tf : 2.0 || idf : 3.2188758248682006
Term : ral || tf : 1.0 || idf : 2.5257286443082556
Term : rancang || tf : 1.0 || idf : 1.8325814637483102
Term : ruang || tf : 7.0 || idf : 2.5257286443082556
Term : s || tf : 1.0 || idf : 3.2188758248682006
Term : sebab || tf : 1.0 || idf : 1.6094379124341003
Term : shorea || tf : 1.0 || idf : 3.2188758248682006
Term : simpan || tf : 11.0 || idf : 3.2188758248682006
Term : stenoptera || tf : 2.0 || idf : 3.2188758248682006
Term : suhu || tf : 3.0 || idf : 1.6094379124341003
Term : tahan || tf : 1.0 || idf : 3.2188758248682006
Term : teliti || tf : 2.0 || idf : 0.17435338714477774
Term : tengkawang || tf : 3.0 || idf : 3.2188758248682006
Term : tingkat || tf : 1.0 || idf : 1.2729656758128876
Term : tuju || tf : 1.0 || idf : 0.5798184952529422
Term : turun || tf : 1.0 || idf : 2.5257286443082556
Term : ubah || tf : 2.0 || idf : 3.2188758248682006
Term : ulang || tf : 1.0 || idf : 3.2188758248682006
Term : urun || tf : 1.0 || idf : 2.120263536200091
Term : viabilitas || tf : 1.0 || idf : 2.5257286443082556
