Term : 50oc || tf : 1.0 || idf : 3.2188758248682006
Term : air || tf : 1.0 || idf : 1.8325814637483102
Term : ajar || tf : 1.0 || idf : 0.9162907318741551
Term : ampas || tf : 4.0 || idf : 3.2188758248682006
Term : aspergillus || tf : 1.0 || idf : 3.2188758248682006
Term : bahan || tf : 1.0 || idf : 1.8325814637483102
Term : bakar || tf : 1.0 || idf : 3.2188758248682006
Term : baru || tf : 1.0 || idf : 3.2188758248682006
Term : bb || tf : 1.0 || idf : 3.2188758248682006
Term : berkas || tf : 1.0 || idf : 2.5257286443082556
Term : daya || tf : 1.0 || idf : 2.120263536200091
Term : delignif || tf : 2.0 || idf : 3.2188758248682006
Term : endur || tf : 1.0 || idf : 3.2188758248682006
Term : energ || tf : 1.0 || idf : 3.2188758248682006
Term : enzim || tf : 1.0 || idf : 3.2188758248682006
Term : enzimatis || tf : 2.0 || idf : 3.2188758248682006
Term : etanol || tf : 1.0 || idf : 2.5257286443082556
Term : g || tf : 1.0 || idf : 3.2188758248682006
Term : glukosa || tf : 2.0 || idf : 2.120263536200091
Term : gula || tf : 1.0 || idf : 2.5257286443082556
Term : hasil || tf : 1.0 || idf : 0.17435338714477774
Term : hati || tf : 1.0 || idf : 3.2188758248682006
Term : hemiselulosa || tf : 1.0 || idf : 3.2188758248682006
Term : hidroksida || tf : 2.0 || idf : 3.2188758248682006
Term : jam || tf : 2.0 || idf : 2.5257286443082556
Term : kamar || tf : 1.0 || idf : 2.5257286443082556
Term : karbon || tf : 1.0 || idf : 3.2188758248682006
Term : kasar || tf : 1.0 || idf : 3.2188758248682006
Term : kasi || tf : 4.0 || idf : 3.2188758248682006
Term : kimia || tf : 1.0 || idf : 2.5257286443082556
Term : kompleks || tf : 1.0 || idf : 3.2188758248682006
Term : kondisi || tf : 1.0 || idf : 1.6094379124341003
Term : konversi || tf : 1.0 || idf : 3.2188758248682006
Term : laku || tf : 1.0 || idf : 1.6094379124341003
Term : lepas || tf : 1.0 || idf : 3.2188758248682006
Term : lignin || tf : 1.0 || idf : 2.5257286443082556
Term : longgar || tf : 1.0 || idf : 3.2188758248682006
Term : manfaat || tf : 1.0 || idf : 2.5257286443082556
Term : masingmasing || tf : 1.0 || idf : 2.120263536200091
Term : mg100 || tf : 1.0 || idf : 3.2188758248682006
Term : ml || tf : 1.0 || idf : 2.120263536200091
Term : niger || tf : 1.0 || idf : 3.2188758248682006
Term : nila || tf : 1.0 || idf : 1.2729656758128876
Term : ph || tf : 1.0 || idf : 3.2188758248682006
Term : potensial || tf : 1.0 || idf : 2.5257286443082556
Term : primer || tf : 1.0 || idf : 3.2188758248682006
Term : produk || tf : 1.0 || idf : 2.5257286443082556
Term : produksi || tf : 1.0 || idf : 2.5257286443082556
Term : reduksi || tf : 1.0 || idf : 3.2188758248682006
Term : rendam || tf : 1.0 || idf : 2.5257286443082556
Term : retensi || tf : 1.0 || idf : 2.5257286443082556
Term : sakarif || tf : 2.0 || idf : 3.2188758248682006
Term : selulase || tf : 1.0 || idf : 3.2188758248682006
Term : selulosa || tf : 3.0 || idf : 3.2188758248682006
Term : sodium || tf : 2.0 || idf : 3.2188758248682006
Term : struktur || tf : 3.0 || idf : 3.2188758248682006
Term : suhu || tf : 2.0 || idf : 1.6094379124341003
Term : sumber || tf : 2.0 || idf : 2.5257286443082556
