Term : abai || tf : 1.0 || idf : 3.2188758248682006
Term : alas || tf : 1.0 || idf : 3.2188758248682006
Term : aware || tf : 1.0 || idf : 3.2188758248682006
Term : baca || tf : 1.0 || idf : 3.2188758248682006
Term : bayes || tf : 2.0 || idf : 2.120263536200091
Term : cakap || tf : 7.0 || idf : 3.2188758248682006
Term : capa || tf : 1.0 || idf : 3.2188758248682006
Term : chat || tf : 1.0 || idf : 3.2188758248682006
Term : classifier || tf : 2.0 || idf : 2.5257286443082556
Term : dio || tf : 1.0 || idf : 3.2188758248682006
Term : elompok || tf : 1.0 || idf : 3.2188758248682006
Term : esensi || tf : 1.0 || idf : 3.2188758248682006
Term : fmeasure || tf : 1.0 || idf : 2.5257286443082556
Term : group || tf : 1.0 || idf : 2.5257286443082556
Term : grup || tf : 1.0 || idf : 3.2188758248682006
Term : guna || tf : 3.0 || idf : 1.6094379124341003
Term : hapus || tf : 1.0 || idf : 3.2188758248682006
Term : hasil || tf : 1.0 || idf : 0.17435338714477774
Term : informasi || tf : 2.0 || idf : 2.120263536200091
Term : instant || tf : 2.0 || idf : 3.2188758248682006
Term : kadang || tf : 1.0 || idf : 3.2188758248682006
Term : kali || tf : 1.0 || idf : 1.4271163556401458
Term : kategor || tf : 3.0 || idf : 1.6094379124341003
Term : klasifikasi || tf : 2.0 || idf : 1.8325814637483102
Term : konteks || tf : 1.0 || idf : 3.2188758248682006
Term : layan || tf : 2.0 || idf : 3.2188758248682006
Term : lewat || tf : 1.0 || idf : 3.2188758248682006
Term : lihat || tf : 1.0 || idf : 3.2188758248682006
Term : line || tf : 1.0 || idf : 3.2188758248682006
Term : lingkung || tf : 2.0 || idf : 1.6094379124341003
Term : mahasiswa || tf : 2.0 || idf : 2.120263536200091
Term : misi || tf : 1.0 || idf : 3.2188758248682006
Term : model || tf : 1.0 || idf : 1.2729656758128876
Term : nave || tf : 2.0 || idf : 2.120263536200091
Term : nila || tf : 1.0 || idf : 1.2729656758128876
Term : offtopic || tf : 1.0 || idf : 3.2188758248682006
Term : otomatis || tf : 1.0 || idf : 3.2188758248682006
Term : peran || tf : 1.0 || idf : 2.5257286443082556
Term : pesan || tf : 1.0 || idf : 3.2188758248682006
Term : potong || tf : 1.0 || idf : 3.2188758248682006
Term : relev || tf : 1.0 || idf : 3.2188758248682006
Term : ruang || tf : 1.0 || idf : 2.5257286443082556
Term : salah || tf : 1.0 || idf : 1.2729656758128876
Term : sedia || tf : 1.0 || idf : 2.5257286443082556
Term : selip || tf : 1.0 || idf : 3.2188758248682006
Term : sifat || tf : 1.0 || idf : 3.2188758248682006
Term : sisa || tf : 1.0 || idf : 2.120263536200091
Term : ssaging || tf : 2.0 || idf : 3.2188758248682006
Term : teks || tf : 1.0 || idf : 1.4271163556401458
Term : teliti || tf : 1.0 || idf : 0.17435338714477774
Term : tumpu || tf : 1.0 || idf : 3.2188758248682006
Term : uji || tf : 1.0 || idf : 1.8325814637483102
