Term : aham || tf : 2.0 || idf : 3.2188758248682006
Term : ajar || tf : 6.0 || idf : 0.9162907318741551
Term : alhikmah || tf : 1.0 || idf : 3.2188758248682006
Term : aruh || tf : 1.0 || idf : 1.4271163556401458
Term : bagi || tf : 1.0 || idf : 2.5257286443082556
Term : bandar || tf : 1.0 || idf : 2.5257286443082556
Term : banding || tf : 1.0 || idf : 1.6094379124341003
Term : control || tf : 1.0 || idf : 3.2188758248682006
Term : dasar || tf : 1.0 || idf : 0.9162907318741551
Term : desain || tf : 1.0 || idf : 2.120263536200091
Term : design || tf : 1.0 || idf : 2.5257286443082556
Term : deskripsi || tf : 1.0 || idf : 2.5257286443082556
Term : didik || tf : 3.0 || idf : 2.120263536200091
Term : eksperimen || tf : 3.0 || idf : 2.5257286443082556
Term : generatif || tf : 3.0 || idf : 3.2188758248682006
Term : group || tf : 1.0 || idf : 2.5257286443082556
Term : hasil || tf : 1.0 || idf : 0.17435338714477774
Term : kelas || tf : 6.0 || idf : 1.2729656758128876
Term : konsep || tf : 2.0 || idf : 2.5257286443082556
Term : kontrol || tf : 2.0 || idf : 2.120263536200091
Term : konvensional || tf : 2.0 || idf : 2.5257286443082556
Term : kuasi || tf : 1.0 || idf : 3.2188758248682006
Term : lampung || tf : 1.0 || idf : 2.5257286443082556
Term : model || tf : 5.0 || idf : 1.2729656758128876
Term : mts || tf : 1.0 || idf : 2.120263536200091
Term : peroleh || tf : 1.0 || idf : 1.0216512475319812
Term : pretestposttest || tf : 1.0 || idf : 3.2188758248682006
Term : sampel || tf : 1.0 || idf : 1.4271163556401458
Term : serta || tf : 3.0 || idf : 2.120263536200091
Term : simpul || tf : 1.0 || idf : 1.4271163556401458
Term : teliti || tf : 4.0 || idf : 0.17435338714477774
Term : tode || tf : 1.0 || idf : 1.0216512475319812
Term : tuju || tf : 1.0 || idf : 0.5798184952529422
