Term : ajar || tf : 7.0 || idf : 0.9162907318741551
Term : analisis || tf : 1.0 || idf : 1.1394342831883648
Term : assisted || tf : 3.0 || idf : 3.2188758248682006
Term : bahas || tf : 1.0 || idf : 1.6094379124341003
Term : bandar || tf : 1.0 || idf : 2.5257286443082556
Term : crocodile || tf : 3.0 || idf : 3.2188758248682006
Term : hasil || tf : 5.0 || idf : 0.17435338714477774
Term : i || tf : 1.0 || idf : 1.8325814637483102
Term : ii || tf : 2.0 || idf : 2.5257286443082556
Term : individualization || tf : 3.0 || idf : 3.2188758248682006
Term : ingkat || tf : 5.0 || idf : 1.4271163556401458
Term : kooperatif || tf : 3.0 || idf : 3.2188758248682006
Term : laksana || tf : 1.0 || idf : 2.120263536200091
Term : lampung || tf : 1.0 || idf : 2.5257286443082556
Term : listrik || tf : 3.0 || idf : 2.5257286443082556
Term : man || tf : 1.0 || idf : 3.2188758248682006
Term : model || tf : 2.0 || idf : 1.2729656758128876
Term : namik || tf : 3.0 || idf : 3.2188758248682006
Term : objek || tf : 1.0 || idf : 3.2188758248682006
Term : peroleh || tf : 1.0 || idf : 1.0216512475319812
Term : physics || tf : 3.0 || idf : 3.2188758248682006
Term : pokok || tf : 1.0 || idf : 2.5257286443082556
Term : ratarata || tf : 1.0 || idf : 1.4271163556401458
Term : siklus || tf : 4.0 || idf : 1.8325814637483102
Term : simulasi || tf : 3.0 || idf : 3.2188758248682006
Term : siswa || tf : 3.0 || idf : 1.4271163556401458
Term : strateg || tf : 1.0 || idf : 3.2188758248682006
Term : tai || tf : 2.0 || idf : 3.2188758248682006
Term : team || tf : 3.0 || idf : 3.2188758248682006
Term : teliti || tf : 3.0 || idf : 0.17435338714477774
Term : tipe || tf : 3.0 || idf : 3.2188758248682006
