Term : aga || tf : 5.0 || idf : 3.2188758248682006
Term : ahli || tf : 1.0 || idf : 2.5257286443082556
Term : ajar || tf : 2.0 || idf : 0.9162907318741551
Term : alat || tf : 5.0 || idf : 3.2188758248682006
Term : awat || tf : 1.0 || idf : 3.2188758248682006
Term : bantu || tf : 1.0 || idf : 1.6094379124341003
Term : bhakti || tf : 1.0 || idf : 3.2188758248682006
Term : dasar || tf : 1.0 || idf : 0.9162907318741551
Term : deskripsi || tf : 3.0 || idf : 2.5257286443082556
Term : eksperimen || tf : 1.0 || idf : 2.5257286443082556
Term : hasil || tf : 3.0 || idf : 0.17435338714477774
Term : implementasi || tf : 1.0 || idf : 3.2188758248682006
Term : indikator || tf : 2.0 || idf : 3.2188758248682006
Term : kategor || tf : 2.0 || idf : 1.6094379124341003
Term : kelas || tf : 2.0 || idf : 1.2729656758128876
Term : kerja || tf : 2.0 || idf : 2.5257286443082556
Term : mater || tf : 1.0 || idf : 1.4271163556401458
Term : ncana || tf : 1.0 || idf : 3.2188758248682006
Term : nila || tf : 1.0 || idf : 1.2729656758128876
Term : opong || tf : 8.0 || idf : 3.2188758248682006
Term : peroleh || tf : 1.0 || idf : 1.0216512475319812
Term : populasi || tf : 1.0 || idf : 2.120263536200091
Term : prinsip || tf : 2.0 || idf : 2.5257286443082556
Term : rancang || tf : 2.0 || idf : 1.8325814637483102
Term : ratarata || tf : 3.0 || idf : 1.4271163556401458
Term : respon || tf : 2.0 || idf : 2.5257286443082556
Term : sampel || tf : 1.0 || idf : 1.4271163556401458
Term : selidik || tf : 2.0 || idf : 2.5257286443082556
Term : siswa || tf : 5.0 || idf : 1.4271163556401458
Term : smk || tf : 1.0 || idf : 3.2188758248682006
Term : sub || tf : 1.0 || idf : 3.2188758248682006
Term : tegori || tf : 1.0 || idf : 3.2188758248682006
Term : telaah || tf : 1.0 || idf : 3.2188758248682006
Term : teliti || tf : 4.0 || idf : 0.17435338714477774
Term : tercapai || tf : 2.0 || idf : 3.2188758248682006
Term : tim || tf : 1.0 || idf : 3.2188758248682006
Term : tuju || tf : 1.0 || idf : 0.5798184952529422
