Term : afektif || tf : 1.0 || idf : 3.2188758248682006
Term : ajar || tf : 2.0 || idf : 0.9162907318741551
Term : aktif || tf : 1.0 || idf : 3.2188758248682006
Term : amat || tf : 1.0 || idf : 2.5257286443082556
Term : analisis || tf : 1.0 || idf : 1.1394342831883648
Term : arik || tf : 2.0 || idf : 2.120263536200091
Term : asumsi || tf : 1.0 || idf : 2.5257286443082556
Term : based || tf : 1.0 || idf : 3.2188758248682006
Term : cari || tf : 1.0 || idf : 2.120263536200091
Term : cemar || tf : 1.0 || idf : 2.120263536200091
Term : data || tf : 1.0 || idf : 1.1394342831883648
Term : ecah || tf : 2.0 || idf : 3.2188758248682006
Term : ecaha || tf : 1.0 || idf : 3.2188758248682006
Term : embang || tf : 1.0 || idf : 1.8325814637483102
Term : evaluasi || tf : 1.0 || idf : 3.2188758248682006
Term : fisika || tf : 1.0 || idf : 3.2188758248682006
Term : hasil || tf : 1.0 || idf : 0.17435338714477774
Term : hierark || tf : 1.0 || idf : 3.2188758248682006
Term : hipotesis || tf : 1.0 || idf : 3.2188758248682006
Term : i || tf : 1.0 || idf : 1.8325814637483102
Term : ii || tf : 2.0 || idf : 2.5257286443082556
Term : ingkat || tf : 1.0 || idf : 1.4271163556401458
Term : intruction || tf : 1.0 || idf : 3.2188758248682006
Term : kategor || tf : 2.0 || idf : 1.6094379124341003
Term : kelas || tf : 2.0 || idf : 1.2729656758128876
Term : kembang || tf : 1.0 || idf : 2.120263536200091
Term : kerja || tf : 1.0 || idf : 2.5257286443082556
Term : klasifikasi || tf : 1.0 || idf : 1.8325814637483102
Term : kritis || tf : 6.0 || idf : 3.2188758248682006
Term : lembar || tf : 1.0 || idf : 3.2188758248682006
Term : lingkung || tf : 2.0 || idf : 1.6094379124341003
Term : lkmlembar || tf : 1.0 || idf : 3.2188758248682006
Term : mahasiswa || tf : 5.0 || idf : 2.120263536200091
Term : mampu || tf : 4.0 || idf : 2.120263536200091
Term : matakuliah || tf : 1.0 || idf : 2.5257286443082556
Term : model || tf : 2.0 || idf : 1.2729656758128876
Term : nila || tf : 2.0 || idf : 1.2729656758128876
Term : partisipasi || tf : 1.0 || idf : 3.2188758248682006
Term : pbi || tf : 1.0 || idf : 3.2188758248682006
Term : peroleh || tf : 1.0 || idf : 1.0216512475319812
Term : pikir || tf : 5.0 || idf : 3.2188758248682006
Term : prediksi || tf : 1.0 || idf : 3.2188758248682006
Term : presentasi || tf : 1.0 || idf : 3.2188758248682006
Term : problem || tf : 1.0 || idf : 2.5257286443082556
Term : proses || tf : 1.0 || idf : 1.1394342831883648
Term : psikomotorik || tf : 1.0 || idf : 3.2188758248682006
Term : ratarata || tf : 2.0 || idf : 1.4271163556401458
Term : seiring || tf : 1.0 || idf : 3.2188758248682006
Term : selidik || tf : 1.0 || idf : 2.5257286443082556
Term : sempat || tf : 1.0 || idf : 3.2188758248682006
Term : siklus || tf : 3.0 || idf : 1.8325814637483102
Term : simpul || tf : 2.0 || idf : 1.4271163556401458
Term : siswa || tf : 1.0 || idf : 1.4271163556401458
Term : skusi || tf : 1.0 || idf : 3.2188758248682006
Term : teliti || tf : 2.0 || idf : 0.17435338714477774
Term : tes || tf : 1.0 || idf : 2.120263536200091
Term : tinda || tf : 1.0 || idf : 2.5257286443082556
Term : tingkat || tf : 1.0 || idf : 1.2729656758128876
Term : topik || tf : 1.0 || idf : 3.2188758248682006
Term : tuju || tf : 1.0 || idf : 0.5798184952529422
