Term : abu || tf : 2.0 || idf : 3.2188758248682006
Term : angkat || tf : 1.0 || idf : 2.5257286443082556
Term : bantu || tf : 1.0 || idf : 1.6094379124341003
Term : bidang || tf : 1.0 || idf : 2.120263536200091
Term : citra || tf : 6.0 || idf : 3.2188758248682006
Term : desain || tf : 1.0 || idf : 2.120263536200091
Term : diagnosis || tf : 1.0 || idf : 3.2188758248682006
Term : equalization || tf : 2.0 || idf : 3.2188758248682006
Term : foto || tf : 1.0 || idf : 3.2188758248682006
Term : gital || tf : 2.0 || idf : 3.2188758248682006
Term : hasil || tf : 1.0 || idf : 0.17435338714477774
Term : hilang || tf : 1.0 || idf : 3.2188758248682006
Term : histogram || tf : 2.0 || idf : 3.2188758248682006
Term : ingkat || tf : 4.0 || idf : 1.4271163556401458
Term : kabur || tf : 2.0 || idf : 3.2188758248682006
Term : kontras || tf : 3.0 || idf : 3.2188758248682006
Term : kualitas || tf : 1.0 || idf : 2.5257286443082556
Term : langsung || tf : 1.0 || idf : 2.120263536200091
Term : layar || tf : 1.0 || idf : 3.2188758248682006
Term : lunak || tf : 1.0 || idf : 1.8325814637483102
Term : medis || tf : 1.0 || idf : 3.2188758248682006
Term : monitor || tf : 1.0 || idf : 3.2188758248682006
Term : olah || tf : 1.0 || idf : 2.120263536200091
Term : radiograf || tf : 2.0 || idf : 3.2188758248682006
Term : rata || tf : 1.0 || idf : 3.2188758248682006
Term : roentgen || tf : 1.0 || idf : 3.2188758248682006
Term : sakit || tf : 1.0 || idf : 2.120263536200091
Term : salah || tf : 1.0 || idf : 1.2729656758128876
Term : sebar || tf : 1.0 || idf : 3.2188758248682006
Term : teliti || tf : 2.0 || idf : 0.17435338714477774
Term : tingkat || tf : 2.0 || idf : 1.2729656758128876
Term : toda || tf : 2.0 || idf : 3.2188758248682006
Term : tode || tf : 2.0 || idf : 1.0216512475319812
Term : tuju || tf : 1.0 || idf : 0.5798184952529422
