Term : accuracy || tf : 2.0 || idf : 3.2188758248682006
Term : ambil || tf : 1.0 || idf : 1.8325814637483102
Term : and || tf : 3.0 || idf : 2.5257286443082556
Term : applications || tf : 1.0 || idf : 3.2188758248682006
Term : architecture || tf : 1.0 || idf : 3.2188758248682006
Term : artificial || tf : 1.0 || idf : 2.5257286443082556
Term : bagi || tf : 1.0 || idf : 2.5257286443082556
Term : bahasa || tf : 1.0 || idf : 2.120263536200091
Term : banding || tf : 1.0 || idf : 1.6094379124341003
Term : bantu || tf : 1.0 || idf : 1.6094379124341003
Term : bayes || tf : 2.0 || idf : 2.120263536200091
Term : bidang || tf : 1.0 || idf : 2.120263536200091
Term : classifier || tf : 2.0 || idf : 2.5257286443082556
Term : cybernetics || tf : 1.0 || idf : 3.2188758248682006
Term : dasar || tf : 2.0 || idf : 0.9162907318741551
Term : data || tf : 3.0 || idf : 1.1394342831883648
Term : engineering || tf : 1.0 || idf : 3.2188758248682006
Term : fmeasure || tf : 2.0 || idf : 2.5257286443082556
Term : formansi || tf : 2.0 || idf : 3.2188758248682006
Term : hardware || tf : 1.0 || idf : 3.2188758248682006
Term : ilmiah || tf : 1.0 || idf : 2.120263536200091
Term : ilmu || tf : 1.0 || idf : 3.2188758248682006
Term : image || tf : 1.0 || idf : 3.2188758248682006
Term : information || tf : 1.0 || idf : 2.120263536200091
Term : inggris || tf : 1.0 || idf : 3.2188758248682006
Term : intelligent || tf : 1.0 || idf : 3.2188758248682006
Term : interdisciplinary || tf : 1.0 || idf : 3.2188758248682006
Term : jurnal || tf : 4.0 || idf : 3.2188758248682006
Term : jurnaljurnal || tf : 1.0 || idf : 3.2188758248682006
Term : kategor || tf : 2.0 || idf : 1.6094379124341003
Term : klasifikasi || tf : 3.0 || idf : 1.8325814637483102
Term : komputer || tf : 1.0 || idf : 2.5257286443082556
Term : latih || tf : 1.0 || idf : 3.2188758248682006
Term : machine || tf : 2.0 || idf : 2.120263536200091
Term : method || tf : 1.0 || idf : 2.5257286443082556
Term : mining || tf : 3.0 || idf : 2.5257286443082556
Term : nave || tf : 2.0 || idf : 2.120263536200091
Term : nila || tf : 2.0 || idf : 1.2729656758128876
Term : of || tf : 1.0 || idf : 3.2188758248682006
Term : photography || tf : 1.0 || idf : 3.2188758248682006
Term : precision || tf : 2.0 || idf : 2.5257286443082556
Term : proses || tf : 2.0 || idf : 1.1394342831883648
Term : rapidminer || tf : 1.0 || idf : 3.2188758248682006
Term : recall || tf : 2.0 || idf : 2.5257286443082556
Term : science || tf : 2.0 || idf : 3.2188758248682006
Term : software || tf : 2.0 || idf : 3.2188758248682006
Term : support || tf : 2.0 || idf : 2.5257286443082556
Term : systems || tf : 1.0 || idf : 3.2188758248682006
Term : tahap || tf : 1.0 || idf : 1.8325814637483102
Term : teknik || tf : 1.0 || idf : 1.4271163556401458
Term : teks || tf : 1.0 || idf : 1.4271163556401458
Term : teliti || tf : 2.0 || idf : 0.17435338714477774
Term : text || tf : 1.0 || idf : 2.5257286443082556
Term : theory || tf : 1.0 || idf : 3.2188758248682006
Term : tode || tf : 3.0 || idf : 1.0216512475319812
Term : total || tf : 1.0 || idf : 2.5257286443082556
Term : uji || tf : 1.0 || idf : 1.8325814637483102
Term : ukur || tf : 1.0 || idf : 1.8325814637483102
Term : vector || tf : 2.0 || idf : 2.5257286443082556
