Term : adaboost || tf : 2.0 || idf : 3.2188758248682006
Term : akan || tf : 1.0 || idf : 3.2188758248682006
Term : akurasi || tf : 6.0 || idf : 3.2188758248682006
Term : algoritma || tf : 3.0 || idf : 2.5257286443082556
Term : analisis || tf : 1.0 || idf : 1.1394342831883648
Term : anggota || tf : 1.0 || idf : 3.2188758248682006
Term : asing || tf : 1.0 || idf : 3.2188758248682006
Term : atasi || tf : 1.0 || idf : 1.8325814637483102
Term : auc || tf : 1.0 || idf : 3.2188758248682006
Term : baye || tf : 1.0 || idf : 3.2188758248682006
Term : bayes || tf : 5.0 || idf : 2.120263536200091
Term : bentuk || tf : 1.0 || idf : 2.5257286443082556
Term : bias || tf : 2.0 || idf : 2.5257286443082556
Term : confusion || tf : 1.0 || idf : 3.2188758248682006
Term : cross || tf : 1.0 || idf : 3.2188758248682006
Term : dapat || tf : 2.0 || idf : 2.120263536200091
Term : dasar || tf : 1.0 || idf : 0.9162907318741551
Term : domain || tf : 1.0 || idf : 3.2188758248682006
Term : dunia || tf : 1.0 || idf : 2.5257286443082556
Term : efisien || tf : 1.0 || idf : 3.2188758248682006
Term : fitur || tf : 3.0 || idf : 2.120263536200091
Term : fold || tf : 1.0 || idf : 3.2188758248682006
Term : forma || tf : 1.0 || idf : 3.2188758248682006
Term : gain || tf : 2.0 || idf : 2.5257286443082556
Term : guna || tf : 1.0 || idf : 1.6094379124341003
Term : hasil || tf : 2.0 || idf : 0.17435338714477774
Term : hidup || tf : 1.0 || idf : 3.2188758248682006
Term : ig || tf : 1.0 || idf : 3.2188758248682006
Term : ilik || tf : 2.0 || idf : 1.8325814637483102
Term : information || tf : 2.0 || idf : 2.120263536200091
Term : ingkat || tf : 2.0 || idf : 1.4271163556401458
Term : integrasi || tf : 1.0 || idf : 3.2188758248682006
Term : internet || tf : 1.0 || idf : 3.2188758248682006
Term : klasifikasi || tf : 4.0 || idf : 1.8325814637483102
Term : konsumen || tf : 1.0 || idf : 3.2188758248682006
Term : kurang || tf : 1.0 || idf : 2.5257286443082556
Term : kurva || tf : 1.0 || idf : 3.2188758248682006
Term : learning || tf : 1.0 || idf : 3.2188758248682006
Term : lokasi || tf : 1.0 || idf : 2.5257286443082556
Term : luarga || tf : 1.0 || idf : 3.2188758248682006
Term : machine || tf : 1.0 || idf : 2.120263536200091
Term : matrix || tf : 1.0 || idf : 3.2188758248682006
Term : nave || tf : 6.0 || idf : 2.120263536200091
Term : nb || tf : 1.0 || idf : 3.2188758248682006
Term : negatif || tf : 2.0 || idf : 3.2188758248682006
Term : nila || tf : 1.0 || idf : 1.2729656758128876
Term : online || tf : 1.0 || idf : 3.2188758248682006
Term : orang || tf : 1.0 || idf : 2.5257286443082556
Term : populer || tf : 1.0 || idf : 3.2188758248682006
Term : positif || tf : 2.0 || idf : 3.2188758248682006
Term : rendah || tf : 1.0 || idf : 1.8325814637483102
Term : restor || tf : 3.0 || idf : 3.2188758248682006
Term : review || tf : 2.0 || idf : 3.2188758248682006
Term : roc || tf : 1.0 || idf : 3.2188758248682006
Term : sederhana || tf : 1.0 || idf : 3.2188758248682006
Term : sedia || tf : 1.0 || idf : 2.5257286443082556
Term : seharihar || tf : 1.0 || idf : 3.2188758248682006
Term : seleksi || tf : 2.0 || idf : 2.5257286443082556
Term : seluruh || tf : 1.0 || idf : 3.2188758248682006
Term : sensitif || tf : 1.0 || idf : 3.2188758248682006
Term : sentimen || tf : 2.0 || idf : 3.2188758248682006
Term : simpul || tf : 1.0 || idf : 1.4271163556401458
Term : tambah || tf : 1.0 || idf : 1.8325814637483102
Term : tekhnik || tf : 1.0 || idf : 3.2188758248682006
Term : teks || tf : 2.0 || idf : 1.4271163556401458
Term : teliti || tf : 3.0 || idf : 0.17435338714477774
Term : temantem || tf : 1.0 || idf : 3.2188758248682006
Term : tingkat || tf : 1.0 || idf : 1.2729656758128876
Term : tode || tf : 3.0 || idf : 1.0216512475319812
Term : tuju || tf : 1.0 || idf : 0.5798184952529422
Term : ukur || tf : 3.0 || idf : 1.8325814637483102
Term : ulas || tf : 2.0 || idf : 3.2188758248682006
Term : unjung || tf : 1.0 || idf : 3.2188758248682006
Term : urang || tf : 1.0 || idf : 2.5257286443082556
Term : validasi || tf : 1.0 || idf : 2.5257286443082556
