Term : adobe || tf : 2.0 || idf : 3.2188758248682006
Term : agam || tf : 1.0 || idf : 3.2188758248682006
Term : ajar || tf : 11.0 || idf : 0.9162907318741551
Term : alam || tf : 2.0 || idf : 1.8325814637483102
Term : ampu || tf : 2.0 || idf : 3.2188758248682006
Term : anfaat || tf : 2.0 || idf : 2.120263536200091
Term : angkat || tf : 1.0 || idf : 2.5257286443082556
Term : animasi || tf : 2.0 || idf : 3.2188758248682006
Term : aplikasi || tf : 1.0 || idf : 3.2188758248682006
Term : arik || tf : 1.0 || idf : 2.120263536200091
Term : arus || tf : 1.0 || idf : 3.2188758248682006
Term : assembly || tf : 1.0 || idf : 3.2188758248682006
Term : audio || tf : 2.0 || idf : 3.2188758248682006
Term : bahas || tf : 1.0 || idf : 1.6094379124341003
Term : bangun || tf : 1.0 || idf : 3.2188758248682006
Term : bantu || tf : 1.0 || idf : 1.6094379124341003
Term : basis || tf : 2.0 || idf : 3.2188758248682006
Term : bidang || tf : 3.0 || idf : 2.120263536200091
Term : buat || tf : 3.0 || idf : 2.120263536200091
Term : cenderung || tf : 1.0 || idf : 2.5257286443082556
Term : concept || tf : 1.0 || idf : 3.2188758248682006
Term : content || tf : 1.0 || idf : 3.2188758248682006
Term : dasar || tf : 1.0 || idf : 0.9162907318741551
Term : deras || tf : 1.0 || idf : 3.2188758248682006
Term : design || tf : 1.0 || idf : 2.5257286443082556
Term : diamedia || tf : 1.0 || idf : 3.2188758248682006
Term : didik || tf : 5.0 || idf : 2.120263536200091
Term : dunia || tf : 1.0 || idf : 2.5257286443082556
Term : embang || tf : 2.0 || idf : 1.8325814637483102
Term : engah || tf : 1.0 || idf : 3.2188758248682006
Term : faham || tf : 1.0 || idf : 3.2188758248682006
Term : fitur || tf : 1.0 || idf : 2.120263536200091
Term : flash || tf : 2.0 || idf : 3.2188758248682006
Term : gabung || tf : 2.0 || idf : 2.5257286443082556
Term : gambar || tf : 3.0 || idf : 3.2188758248682006
Term : giat || tf : 1.0 || idf : 3.2188758248682006
Term : guru || tf : 2.0 || idf : 2.5257286443082556
Term : hadap || tf : 1.0 || idf : 2.5257286443082556
Term : hasil || tf : 1.0 || idf : 0.17435338714477774
Term : indonesia || tf : 2.0 || idf : 2.5257286443082556
Term : informasi || tf : 1.0 || idf : 2.120263536200091
Term : ingkat || tf : 3.0 || idf : 1.4271163556401458
Term : isti || tf : 1.0 || idf : 3.2188758248682006
Term : kembang || tf : 1.0 || idf : 2.120263536200091
Term : kenal || tf : 1.0 || idf : 3.2188758248682006
Term : komponen || tf : 2.0 || idf : 3.2188758248682006
Term : komputer || tf : 2.0 || idf : 2.5257286443082556
Term : lajar || tf : 1.0 || idf : 3.2188758248682006
Term : lunak || tf : 1.0 || idf : 1.8325814637483102
Term : maju || tf : 1.0 || idf : 3.2188758248682006
Term : manfaat || tf : 1.0 || idf : 2.5257286443082556
Term : masuk || tf : 1.0 || idf : 3.2188758248682006
Term : matematika || tf : 3.0 || idf : 1.8325814637483102
Term : mater || tf : 3.0 || idf : 1.4271163556401458
Term : material || tf : 1.0 || idf : 3.2188758248682006
Term : motivasi || tf : 1.0 || idf : 2.5257286443082556
Term : mudah || tf : 1.0 || idf : 3.2188758248682006
Term : multimedia || tf : 8.0 || idf : 3.2188758248682006
Term : mutu || tf : 1.0 || idf : 2.5257286443082556
Term : negara || tf : 1.0 || idf : 3.2188758248682006
Term : observasi || tf : 1.0 || idf : 3.2188758248682006
Term : obtaining || tf : 1.0 || idf : 3.2188758248682006
Term : peran || tf : 1.0 || idf : 2.5257286443082556
Term : prestasi || tf : 2.0 || idf : 3.2188758248682006
Term : rangka || tf : 1.0 || idf : 3.2188758248682006
Term : salah || tf : 1.0 || idf : 1.2729656758128876
Term : satu || tf : 1.0 || idf : 3.2188758248682006
Term : sebab || tf : 1.0 || idf : 1.6094379124341003
Term : seko || tf : 1.0 || idf : 2.5257286443082556
Term : semangat || tf : 1.0 || idf : 3.2188758248682006
Term : senang || tf : 1.0 || idf : 3.2188758248682006
Term : serta || tf : 1.0 || idf : 2.120263536200091
Term : sistem || tf : 5.0 || idf : 2.5257286443082556
Term : siswa || tf : 6.0 || idf : 1.4271163556401458
Term : stribution || tf : 1.0 || idf : 3.2188758248682006
Term : suara || tf : 2.0 || idf : 3.2188758248682006
Term : sulit || tf : 3.0 || idf : 3.2188758248682006
Term : tahap || tf : 1.0 || idf : 1.8325814637483102
Term : teknolog || tf : 5.0 || idf : 3.2188758248682006
Term : teks || tf : 1.0 || idf : 1.4271163556401458
Term : teliti || tf : 2.0 || idf : 0.17435338714477774
Term : testing || tf : 1.0 || idf : 3.2188758248682006
Term : tode || tf : 5.0 || idf : 1.0216512475319812
Term : todolog || tf : 1.0 || idf : 3.2188758248682006
Term : tool || tf : 1.0 || idf : 3.2188758248682006
Term : trigonometr || tf : 8.0 || idf : 3.2188758248682006
Term : tuntut || tf : 1.0 || idf : 3.2188758248682006
Term : urun || tf : 1.0 || idf : 2.120263536200091
Term : utama || tf : 1.0 || idf : 3.2188758248682006
Term : vektor || tf : 1.0 || idf : 3.2188758248682006
