Term : abung || tf : 1.0 || idf : 3.2188758248682006
Term : aju || tf : 1.0 || idf : 3.2188758248682006
Term : algoritma || tf : 1.0 || idf : 2.5257286443082556
Term : analisis || tf : 2.0 || idf : 1.1394342831883648
Term : attacement || tf : 1.0 || idf : 3.2188758248682006
Term : bahasa || tf : 3.0 || idf : 2.120263536200091
Term : beda || tf : 1.0 || idf : 2.120263536200091
Term : berkas || tf : 1.0 || idf : 2.5257286443082556
Term : box || tf : 5.0 || idf : 3.2188758248682006
Term : client || tf : 1.0 || idf : 3.2188758248682006
Term : customer || tf : 1.0 || idf : 3.2188758248682006
Term : dapat || tf : 1.0 || idf : 2.120263536200091
Term : dasar || tf : 2.0 || idf : 0.9162907318741551
Term : dikirm || tf : 1.0 || idf : 3.2188758248682006
Term : document || tf : 1.0 || idf : 3.2188758248682006
Term : dokumen || tf : 4.0 || idf : 3.2188758248682006
Term : dokument || tf : 1.0 || idf : 3.2188758248682006
Term : ekstrak || tf : 1.0 || idf : 3.2188758248682006
Term : email || tf : 18.0 || idf : 3.2188758248682006
Term : embang || tf : 1.0 || idf : 1.8325814637483102
Term : emu || tf : 2.0 || idf : 3.2188758248682006
Term : etahu || tf : 1.0 || idf : 3.2188758248682006
Term : gabung || tf : 1.0 || idf : 2.5257286443082556
Term : guna || tf : 1.0 || idf : 1.6094379124341003
Term : hasil || tf : 1.0 || idf : 0.17435338714477774
Term : ilik || tf : 1.0 || idf : 1.8325814637483102
Term : inbox || tf : 1.0 || idf : 3.2188758248682006
Term : indonesia || tf : 3.0 || idf : 2.5257286443082556
Term : informasi || tf : 4.0 || idf : 2.120263536200091
Term : irim || tf : 7.0 || idf : 3.2188758248682006
Term : isi || tf : 1.0 || idf : 3.2188758248682006
Term : ita || tf : 1.0 || idf : 3.2188758248682006
Term : jadi || tf : 1.0 || idf : 2.5257286443082556
Term : kait || tf : 1.0 || idf : 3.2188758248682006
Term : kirim || tf : 1.0 || idf : 3.2188758248682006
Term : knowleage || tf : 2.0 || idf : 3.2188758248682006
Term : kontak || tf : 1.0 || idf : 3.2188758248682006
Term : konten || tf : 2.0 || idf : 3.2188758248682006
Term : lengkap || tf : 1.0 || idf : 2.5257286443082556
Term : mana || tf : 1.0 || idf : 1.8325814637483102
Term : marketing || tf : 2.0 || idf : 3.2188758248682006
Term : mining || tf : 3.0 || idf : 2.5257286443082556
Term : orang || tf : 1.0 || idf : 2.5257286443082556
Term : paneliti || tf : 1.0 || idf : 3.2188758248682006
Term : paper || tf : 1.0 || idf : 2.5257286443082556
Term : parsial || tf : 1.0 || idf : 3.2188758248682006
Term : parsing || tf : 1.0 || idf : 3.2188758248682006
Term : porter || tf : 1.0 || idf : 3.2188758248682006
Term : preprocessing || tf : 3.0 || idf : 3.2188758248682006
Term : proses || tf : 2.0 || idf : 1.1394342831883648
Term : removal || tf : 1.0 || idf : 3.2188758248682006
Term : scovery || tf : 2.0 || idf : 3.2188758248682006
Term : stemming || tf : 3.0 || idf : 3.2188758248682006
Term : stopword || tf : 1.0 || idf : 3.2188758248682006
Term : subjek || tf : 1.0 || idf : 3.2188758248682006
Term : teknik || tf : 3.0 || idf : 1.4271163556401458
Term : teks || tf : 1.0 || idf : 1.4271163556401458
Term : text || tf : 6.0 || idf : 2.5257286443082556
Term : textpreprocessing || tf : 1.0 || idf : 3.2188758248682006
Term : tokenizing || tf : 1.0 || idf : 3.2188758248682006
Term : tuju || tf : 1.0 || idf : 0.5798184952529422
Term : tunjang || tf : 1.0 || idf : 3.2188758248682006
