Term : artificial || tf : 1.0 || idf : 2.5257286443082556
Term : aspek || tf : 1.0 || idf : 2.5257286443082556
Term : atasi || tf : 1.0 || idf : 1.8325814637483102
Term : banding || tf : 2.0 || idf : 1.6094379124341003
Term : bee || tf : 1.0 || idf : 3.2188758248682006
Term : coba || tf : 1.0 || idf : 2.120263536200091
Term : colony || tf : 1.0 || idf : 3.2188758248682006
Term : data || tf : 1.0 || idf : 1.1394342831883648
Term : dataset || tf : 1.0 || idf : 3.2188758248682006
Term : fitur || tf : 2.0 || idf : 2.120263536200091
Term : gain || tf : 1.0 || idf : 2.5257286443082556
Term : hadap || tf : 1.0 || idf : 2.5257286443082556
Term : hasil || tf : 1.0 || idf : 0.17435338714477774
Term : inefisiensi || tf : 1.0 || idf : 3.2188758248682006
Term : information || tf : 1.0 || idf : 2.120263536200091
Term : kategorisasi || tf : 2.0 || idf : 3.2188758248682006
Term : komputasi || tf : 1.0 || idf : 3.2188758248682006
Term : machine || tf : 1.0 || idf : 2.120263536200091
Term : mensi || tf : 1.0 || idf : 3.2188758248682006
Term : pre || tf : 1.0 || idf : 3.2188758248682006
Term : precision || tf : 1.0 || idf : 2.5257286443082556
Term : problem || tf : 1.0 || idf : 2.5257286443082556
Term : processing || tf : 1.0 || idf : 3.2188758248682006
Term : psosvm || tf : 1.0 || idf : 3.2188758248682006
Term : ratarata || tf : 2.0 || idf : 1.4271163556401458
Term : recall || tf : 1.0 || idf : 2.5257286443082556
Term : reuter21578 || tf : 1.0 || idf : 3.2188758248682006
Term : salah || tf : 2.0 || idf : 1.2729656758128876
Term : sebab || tf : 1.0 || idf : 1.6094379124341003
Term : seleksi || tf : 2.0 || idf : 2.5257286443082556
Term : support || tf : 1.0 || idf : 2.5257286443082556
Term : tahap || tf : 2.0 || idf : 1.8325814637483102
Term : teks || tf : 2.0 || idf : 1.4271163556401458
Term : teliti || tf : 1.0 || idf : 0.17435338714477774
Term : tingkat || tf : 1.0 || idf : 1.2729656758128876
Term : tode || tf : 1.0 || idf : 1.0216512475319812
Term : uji || tf : 1.0 || idf : 1.8325814637483102
Term : usul || tf : 1.0 || idf : 3.2188758248682006
