Term : 6416a19025 || tf : 1.0 || idf : 2.5257286443082556
Term : a || tf : 1.0 || idf : 2.120263536200091
Term : aduk || tf : 4.0 || idf : 2.5257286443082556
Term : anfaat || tf : 1.0 || idf : 2.120263536200091
Term : asam || tf : 1.0 || idf : 2.120263536200091
Term : bahan || tf : 1.0 || idf : 1.8325814637483102
Term : bahaya || tf : 1.0 || idf : 2.5257286443082556
Term : basa || tf : 2.0 || idf : 2.5257286443082556
Term : bekas || tf : 3.0 || idf : 2.5257286443082556
Term : buat || tf : 2.0 || idf : 2.120263536200091
Term : butuh || tf : 1.0 || idf : 2.5257286443082556
Term : cemar || tf : 1.0 || idf : 2.120263536200091
Term : cepat || tf : 1.0 || idf : 2.120263536200091
Term : data || tf : 2.0 || idf : 1.1394342831883648
Term : faktor || tf : 1.0 || idf : 2.5257286443082556
Term : garam || tf : 1.0 || idf : 2.5257286443082556
Term : gliserol || tf : 1.0 || idf : 2.5257286443082556
Term : goreng || tf : 5.0 || idf : 2.5257286443082556
Term : guna || tf : 1.0 || idf : 1.6094379124341003
Term : hasil || tf : 2.0 || idf : 0.17435338714477774
Term : hidrolisis || tf : 2.0 || idf : 2.120263536200091
Term : ilmiah || tf : 1.0 || idf : 2.120263536200091
Term : k || tf : 1.0 || idf : 2.5257286443082556
Term : kali || tf : 2.0 || idf : 1.4271163556401458
Term : kalium || tf : 1.0 || idf : 2.5257286443082556
Term : kinetika || tf : 2.0 || idf : 2.5257286443082556
Term : koh || tf : 4.0 || idf : 2.5257286443082556
Term : kondisi || tf : 1.0 || idf : 1.6094379124341003
Term : konsentrasi || tf : 1.0 || idf : 1.8325814637483102
Term : konsumsi || tf : 1.0 || idf : 2.5257286443082556
Term : laku || tf : 1.0 || idf : 1.6094379124341003
Term : lemak || tf : 3.0 || idf : 2.120263536200091
Term : limbah || tf : 1.0 || idf : 2.5257286443082556
Term : lingkung || tf : 1.0 || idf : 1.6094379124341003
Term : lunak || tf : 5.0 || idf : 1.8325814637483102
Term : menit || tf : 4.0 || idf : 1.8325814637483102
Term : minyak || tf : 5.0 || idf : 2.5257286443082556
Term : ml || tf : 5.0 || idf : 2.120263536200091
Term : ngaruh || tf : 1.0 || idf : 2.5257286443082556
Term : olah || tf : 1.0 || idf : 2.120263536200091
Term : optimum || tf : 1.0 || idf : 2.5257286443082556
Term : pangan || tf : 1.0 || idf : 2.5257286443082556
Term : peroleh || tf : 2.0 || idf : 1.0216512475319812
Term : proses || tf : 2.0 || idf : 1.1394342831883648
Term : ra || tf : 1.0 || idf : 2.5257286443082556
Term : reaksi || tf : 3.0 || idf : 2.5257286443082556
Term : rumah || tf : 1.0 || idf : 2.5257286443082556
Term : sabun || tf : 5.0 || idf : 2.5257286443082556
Term : sakit || tf : 1.0 || idf : 2.120263536200091
Term : saponifikasi || tf : 2.0 || idf : 2.5257286443082556
Term : sebab || tf : 1.0 || idf : 1.6094379124341003
Term : sehat || tf : 1.0 || idf : 2.5257286443082556
Term : sempurna || tf : 1.0 || idf : 2.5257286443082556
Term : suhu || tf : 1.0 || idf : 1.6094379124341003
Term : tambah || tf : 1.0 || idf : 1.8325814637483102
Term : tangga || tf : 1.0 || idf : 2.5257286443082556
Term : teliti || tf : 1.0 || idf : 0.17435338714477774
