Term : ada || tf : 1.0 || idf : 3.2188758248682006
Term : air || tf : 1.0 || idf : 1.8325814637483102
Term : akai || tf : 1.0 || idf : 3.2188758248682006
Term : atasi || tf : 1.0 || idf : 1.8325814637483102
Term : bahas || tf : 1.0 || idf : 1.6094379124341003
Term : bentuk || tf : 1.0 || idf : 2.5257286443082556
Term : cd || tf : 1.0 || idf : 3.2188758248682006
Term : cu || tf : 4.0 || idf : 2.5257286443082556
Term : deposisi || tf : 4.0 || idf : 3.2188758248682006
Term : deteksi || tf : 1.0 || idf : 2.5257286443082556
Term : detik || tf : 2.0 || idf : 3.2188758248682006
Term : elektoda || tf : 2.0 || idf : 3.2188758248682006
Term : elektroda || tf : 4.0 || idf : 3.2188758248682006
Term : empat || tf : 3.0 || idf : 3.2188758248682006
Term : gallium || tf : 2.0 || idf : 3.2188758248682006
Term : ganggu || tf : 1.0 || idf : 3.2188758248682006
Term : hcl || tf : 2.0 || idf : 3.2188758248682006
Term : hgii || tf : 2.0 || idf : 3.2188758248682006
Term : intermetalik || tf : 1.0 || idf : 3.2188758248682006
Term : ion || tf : 2.0 || idf : 3.2188758248682006
Term : kali || tf : 1.0 || idf : 1.4271163556401458
Term : kombinasi || tf : 3.0 || idf : 3.2188758248682006
Term : kondisi || tf : 2.0 || idf : 1.6094379124341003
Term : konsentrasi || tf : 2.0 || idf : 1.8325814637483102
Term : konvensional || tf : 3.0 || idf : 2.5257286443082556
Term : larut || tf : 1.0 || idf : 2.5257286443082556
Term : lebar || tf : 1.0 || idf : 3.2188758248682006
Term : limit || tf : 1.0 || idf : 3.2188758248682006
Term : linier || tf : 1.0 || idf : 2.5257286443082556
Term : logam || tf : 5.0 || idf : 2.5257286443082556
Term : m || tf : 2.0 || idf : 3.2188758248682006
Term : mana || tf : 1.0 || idf : 1.8325814637483102
Term : mgl || tf : 3.0 || idf : 3.2188758248682006
Term : mv || tf : 3.0 || idf : 3.2188758248682006
Term : oksid || tf : 2.0 || idf : 3.2188758248682006
Term : paka || tf : 1.0 || idf : 3.2188758248682006
Term : paper || tf : 1.0 || idf : 2.5257286443082556
Term : pb || tf : 1.0 || idf : 2.5257286443082556
Term : peroleh || tf : 1.0 || idf : 1.0216512475319812
Term : potensial || tf : 2.0 || idf : 2.5257286443082556
Term : potensiometr || tf : 1.0 || idf : 3.2188758248682006
Term : rendah || tf : 1.0 || idf : 1.8325814637483102
Term : rentang || tf : 1.0 || idf : 3.2188758248682006
Term : senyawa || tf : 1.0 || idf : 2.5257286443082556
Term : siklus || tf : 3.0 || idf : 1.8325814637483102
Term : simult || tf : 1.0 || idf : 3.2188758248682006
Term : sistem || tf : 2.0 || idf : 2.5257286443082556
Term : stripping || tf : 2.0 || idf : 3.2188758248682006
Term : system || tf : 1.0 || idf : 3.2188758248682006
Term : tambah || tf : 1.0 || idf : 1.8325814637483102
Term : teknik || tf : 1.0 || idf : 1.4271163556401458
Term : teliti || tf : 1.0 || idf : 0.17435338714477774
Term : tentu || tf : 8.0 || idf : 2.5257286443082556
Term : tepat || tf : 1.0 || idf : 3.2188758248682006
Term : tiga || tf : 1.0 || idf : 3.2188758248682006
