Term : 80c || tf : 1.0 || idf : 3.2188758248682006
Term : 87c || tf : 1.0 || idf : 3.2188758248682006
Term : air || tf : 1.0 || idf : 1.8325814637483102
Term : alir || tf : 1.0 || idf : 3.2188758248682006
Term : andung || tf : 1.0 || idf : 2.5257286443082556
Term : atur || tf : 1.0 || idf : 3.2188758248682006
Term : beda || tf : 1.0 || idf : 2.120263536200091
Term : bias || tf : 1.0 || idf : 2.5257286443082556
Term : bunga || tf : 1.0 || idf : 2.5257286443082556
Term : dasar || tf : 1.0 || idf : 0.9162907318741551
Term : deionisasi || tf : 1.0 || idf : 3.2188758248682006
Term : dengam || tf : 1.0 || idf : 2.5257286443082556
Term : deteksi || tf : 1.0 || idf : 2.5257286443082556
Term : detektor || tf : 1.0 || idf : 3.2188758248682006
Term : eduksi || tf : 4.0 || idf : 3.2188758248682006
Term : eluen || tf : 1.0 || idf : 3.2188758248682006
Term : frukosa || tf : 1.0 || idf : 3.2188758248682006
Term : fruktosa || tf : 6.0 || idf : 3.2188758248682006
Term : glukosa || tf : 7.0 || idf : 2.120263536200091
Term : gula || tf : 6.0 || idf : 2.5257286443082556
Term : hasil || tf : 1.0 || idf : 0.17435338714477774
Term : ilik || tf : 1.0 || idf : 1.8325814637483102
Term : indeks || tf : 1.0 || idf : 3.2188758248682006
Term : jenis || tf : 3.0 || idf : 2.120263536200091
Term : kadar || tf : 8.0 || idf : 2.120263536200091
Term : kandung || tf : 1.0 || idf : 2.120263536200091
Term : kckt || tf : 2.0 || idf : 3.2188758248682006
Term : kolom || tf : 2.0 || idf : 3.2188758248682006
Term : kondisi || tf : 1.0 || idf : 1.6094379124341003
Term : laju || tf : 1.0 || idf : 2.5257286443082556
Term : lengkeng || tf : 4.0 || idf : 3.2188758248682006
Term : madu || tf : 14.0 || idf : 3.2188758248682006
Term : maltosa || tf : 1.0 || idf : 3.2188758248682006
Term : mana || tf : 2.0 || idf : 1.8325814637483102
Term : masingmasing || tf : 3.0 || idf : 2.120263536200091
Term : menit || tf : 1.0 || idf : 1.8325814637483102
Term : minimal || tf : 1.0 || idf : 3.2188758248682006
Term : mlmenit || tf : 1.0 || idf : 3.2188758248682006
Term : mutu || tf : 1.0 || idf : 2.5257286443082556
Term : nasional || tf : 1.0 || idf : 3.2188758248682006
Term : operasional || tf : 1.0 || idf : 3.2188758248682006
Term : pisah || tf : 1.0 || idf : 3.2188758248682006
Term : prosedur || tf : 1.0 || idf : 3.2188758248682006
Term : randu || tf : 4.0 || idf : 3.2188758248682006
Term : retensi || tf : 1.0 || idf : 2.5257286443082556
Term : sampel || tf : 2.0 || idf : 1.4271163556401458
Term : sesua || tf : 1.0 || idf : 3.2188758248682006
Term : sii || tf : 1.0 || idf : 3.2188758248682006
Term : suhu || tf : 1.0 || idf : 1.6094379124341003
Term : susun || tf : 2.0 || idf : 3.2188758248682006
Term : syarat || tf : 1.0 || idf : 3.2188758248682006
Term : tacarb || tf : 1.0 || idf : 3.2188758248682006
Term : telit || tf : 1.0 || idf : 3.2188758248682006
Term : teliti || tf : 2.0 || idf : 0.17435338714477774
Term : tentu || tf : 2.0 || idf : 2.5257286443082556
Term : tode || tf : 1.0 || idf : 1.0216512475319812
Term : total || tf : 3.0 || idf : 2.5257286443082556
