Term : ambil || tf : 2.0 || idf : 1.8325814637483102
Term : andung || tf : 1.0 || idf : 2.5257286443082556
Term : aruh || tf : 1.0 || idf : 1.4271163556401458
Term : benoa || tf : 1.0 || idf : 3.2188758248682006
Term : berat || tf : 2.0 || idf : 3.2188758248682006
Term : cm || tf : 3.0 || idf : 3.2188758248682006
Term : cu || tf : 5.0 || idf : 2.5257286443082556
Term : cunya || tf : 1.0 || idf : 3.2188758248682006
Term : dalam || tf : 6.0 || idf : 3.2188758248682006
Term : interaksi || tf : 1.0 || idf : 2.5257286443082556
Term : kandung || tf : 2.0 || idf : 2.120263536200091
Term : konsentrasi || tf : 3.0 || idf : 1.8325814637483102
Term : korelasi || tf : 1.0 || idf : 3.2188758248682006
Term : labuh || tf : 1.0 || idf : 3.2188758248682006
Term : logam || tf : 3.0 || idf : 2.5257286443082556
Term : lokasi || tf : 2.0 || idf : 2.5257286443082556
Term : masingmasing || tf : 1.0 || idf : 2.120263536200091
Term : mgkg || tf : 6.0 || idf : 3.2188758248682006
Term : muka || tf : 1.0 || idf : 3.2188758248682006
Term : nyata || tf : 2.0 || idf : 2.120263536200091
Term : pb || tf : 6.0 || idf : 2.5257286443082556
Term : pengaruh || tf : 1.0 || idf : 2.5257286443082556
Term : ragam || tf : 1.0 || idf : 3.2188758248682006
Term : ratarata || tf : 2.0 || idf : 1.4271163556401458
Term : sampel || tf : 2.0 || idf : 1.4271163556401458
Term : sedimen || tf : 7.0 || idf : 3.2188758248682006
Term : statistik || tf : 1.0 || idf : 3.2188758248682006
Term : sumber || tf : 1.0 || idf : 2.5257286443082556
