Term : analisis || tf : 2.0 || idf : 1.1394342831883648
Term : asumsi || tf : 1.0 || idf : 2.5257286443082556
Term : cari || tf : 1.0 || idf : 2.120263536200091
Term : duga || tf : 1.0 || idf : 3.2188758248682006
Term : entu || tf : 1.0 || idf : 3.2188758248682006
Term : hubung || tf : 1.0 || idf : 3.2188758248682006
Term : i || tf : 1.0 || idf : 1.8325814637483102
Term : jelas || tf : 1.0 || idf : 3.2188758248682006
Term : kuadrat || tf : 1.0 || idf : 3.2188758248682006
Term : likehood || tf : 1.0 || idf : 3.2188758248682006
Term : maksimum || tf : 1.0 || idf : 3.2188758248682006
Term : maximum || tf : 1.0 || idf : 3.2188758248682006
Term : method || tf : 1.0 || idf : 2.5257286443082556
Term : minimum || tf : 1.0 || idf : 3.2188758248682006
Term : model || tf : 1.0 || idf : 1.2729656758128876
Term : nid0 || tf : 1.0 || idf : 3.2188758248682006
Term : pangkat || tf : 1.0 || idf : 3.2188758248682006
Term : parameter || tf : 2.0 || idf : 2.120263536200091
Term : penuh || tf : 2.0 || idf : 3.2188758248682006
Term : pilih || tf : 1.0 || idf : 3.2188758248682006
Term : regresi || tf : 1.0 || idf : 3.2188758248682006
Term : respon || tf : 1.0 || idf : 2.5257286443082556
Term : salah || tf : 1.0 || idf : 1.2729656758128876
Term : sisa || tf : 1.0 || idf : 2.120263536200091
Term : statistika || tf : 1.0 || idf : 3.2188758248682006
Term : teknik || tf : 1.0 || idf : 1.4271163556401458
Term : tode || tf : 1.0 || idf : 1.0216512475319812
Term : transfomasi || tf : 1.0 || idf : 3.2188758248682006
Term : variabel || tf : 2.0 || idf : 2.120263536200091
Term : xdalam || tf : 1.0 || idf : 3.2188758248682006
Term : y || tf : 3.0 || idf : 3.2188758248682006
