Term : ahli || tf : 3.0 || idf : 2.5257286443082556
Term : ajar || tf : 6.0 || idf : 0.9162907318741551
Term : and || tf : 1.0 || idf : 2.5257286443082556
Term : arik || tf : 1.0 || idf : 2.120263536200091
Term : bahas || tf : 2.0 || idf : 1.6094379124341003
Term : bahasa || tf : 1.0 || idf : 2.120263536200091
Term : bai || tf : 1.0 || idf : 3.2188758248682006
Term : bantu || tf : 2.0 || idf : 1.6094379124341003
Term : batasi || tf : 1.0 || idf : 3.2188758248682006
Term : belakang || tf : 1.0 || idf : 3.2188758248682006
Term : coba || tf : 1.0 || idf : 2.120263536200091
Term : dasar || tf : 2.0 || idf : 0.9162907318741551
Term : data || tf : 1.0 || idf : 1.1394342831883648
Term : desain || tf : 3.0 || idf : 2.120263536200091
Term : development || tf : 1.0 || idf : 3.2188758248682006
Term : dia || tf : 5.0 || idf : 3.2188758248682006
Term : didik || tf : 2.0 || idf : 2.120263536200091
Term : embang || tf : 1.0 || idf : 1.8325814637483102
Term : geogebra || tf : 2.0 || idf : 3.2188758248682006
Term : hasil || tf : 2.0 || idf : 0.17435338714477774
Term : jadi || tf : 1.0 || idf : 2.5257286443082556
Term : kategor || tf : 1.0 || idf : 1.6094379124341003
Term : kelas || tf : 1.0 || idf : 1.2729656758128876
Term : kembang || tf : 1.0 || idf : 2.120263536200091
Term : kurang || tf : 1.0 || idf : 2.5257286443082556
Term : laksana || tf : 1.0 || idf : 2.120263536200091
Term : langkahlang || tf : 2.0 || idf : 3.2188758248682006
Term : latar || tf : 1.0 || idf : 3.2188758248682006
Term : layak || tf : 2.0 || idf : 3.2188758248682006
Term : mater || tf : 1.0 || idf : 1.4271163556401458
Term : minat || tf : 1.0 || idf : 2.5257286443082556
Term : modul || tf : 2.0 || idf : 3.2188758248682006
Term : motivasi || tf : 1.0 || idf : 2.5257286443082556
Term : peroleh || tf : 1.0 || idf : 1.0216512475319812
Term : pokok || tf : 2.0 || idf : 2.5257286443082556
Term : potensi || tf : 1.0 || idf : 3.2188758248682006
Term : produk || tf : 3.0 || idf : 2.5257286443082556
Term : proses || tf : 1.0 || idf : 1.1394342831883648
Term : rd || tf : 1.0 || idf : 3.2188758248682006
Term : rendah || tf : 1.0 || idf : 1.8325814637483102
Term : research || tf : 1.0 || idf : 3.2188758248682006
Term : revisi || tf : 1.0 || idf : 3.2188758248682006
Term : serta || tf : 1.0 || idf : 2.120263536200091
Term : skor || tf : 1.0 || idf : 3.2188758248682006
Term : sma || tf : 1.0 || idf : 3.2188758248682006
Term : sugiyono || tf : 2.0 || idf : 3.2188758248682006
Term : tahap || tf : 2.0 || idf : 1.8325814637483102
Term : teliti || tf : 5.0 || idf : 0.17435338714477774
Term : terbatas || tf : 1.0 || idf : 3.2188758248682006
Term : tilai || tf : 1.0 || idf : 3.2188758248682006
Term : tode || tf : 1.0 || idf : 1.0216512475319812
Term : tuju || tf : 1.0 || idf : 0.5798184952529422
Term : tujuh || tf : 1.0 || idf : 3.2188758248682006
Term : turun || tf : 2.0 || idf : 2.5257286443082556
Term : turutturut || tf : 1.0 || idf : 2.5257286443082556
Term : uji || tf : 2.0 || idf : 1.8325814637483102
Term : umpul || tf : 1.0 || idf : 2.120263536200091
Term : validasi || tf : 1.0 || idf : 2.5257286443082556
