Term : 1instrumen || tf : 1.0 || idf : 2.5257286443082556
Term : ajar || tf : 8.0 || idf : 0.9162907318741551
Term : alkhairiyah || tf : 1.0 || idf : 2.5257286443082556
Term : ambil || tf : 1.0 || idf : 1.8325814637483102
Term : analisis || tf : 1.0 || idf : 1.1394342831883648
Term : angket || tf : 1.0 || idf : 2.5257286443082556
Term : aruh || tf : 2.0 || idf : 1.4271163556401458
Term : banding || tf : 1.0 || idf : 1.6094379124341003
Term : data || tf : 2.0 || idf : 1.1394342831883648
Term : dekat || tf : 2.0 || idf : 2.5257286443082556
Term : dokumentasi || tf : 1.0 || idf : 2.5257286443082556
Term : hasil || tf : 1.0 || idf : 0.17435338714477774
Term : islam || tf : 2.0 || idf : 2.5257286443082556
Term : jenis || tf : 1.0 || idf : 2.120263536200091
Term : kausal || tf : 1.0 || idf : 2.5257286443082556
Term : kelas || tf : 3.0 || idf : 1.2729656758128876
Term : komparatif || tf : 1.0 || idf : 2.5257286443082556
Term : komunikasi || tf : 3.0 || idf : 2.5257286443082556
Term : kontrol || tf : 1.0 || idf : 2.120263536200091
Term : langsung || tf : 2.0 || idf : 2.120263536200091
Term : mampu || tf : 1.0 || idf : 2.120263536200091
Term : matematika || tf : 3.0 || idf : 1.8325814637483102
Term : matematis || tf : 2.0 || idf : 2.5257286443082556
Term : mater || tf : 1.0 || idf : 1.4271163556401458
Term : model || tf : 6.0 || idf : 1.2729656758128876
Term : mts || tf : 1.0 || idf : 2.120263536200091
Term : natar || tf : 1.0 || idf : 2.5257286443082556
Term : nuansa || tf : 2.0 || idf : 2.5257286443082556
Term : populasi || tf : 1.0 || idf : 2.120263536200091
Term : random || tf : 1.0 || idf : 2.5257286443082556
Term : realistik || tf : 2.0 || idf : 2.5257286443082556
Term : reflektif || tf : 2.0 || idf : 2.5257286443082556
Term : sampel || tf : 2.0 || idf : 1.4271163556401458
Term : sampling || tf : 1.0 || idf : 2.5257286443082556
Term : segiempat || tf : 1.0 || idf : 2.5257286443082556
Term : simple || tf : 1.0 || idf : 2.5257286443082556
Term : simpul || tf : 1.0 || idf : 1.4271163556401458
Term : siswa || tf : 4.0 || idf : 1.4271163556401458
Term : teknik || tf : 3.0 || idf : 1.4271163556401458
Term : teliti || tf : 4.0 || idf : 0.17435338714477774
Term : tes || tf : 2.0 || idf : 2.120263536200091
Term : tuju || tf : 1.0 || idf : 0.5798184952529422
Term : ujit || tf : 1.0 || idf : 2.5257286443082556
Term : ukur || tf : 1.0 || idf : 1.8325814637483102
Term : umpul || tf : 1.0 || idf : 2.120263536200091
