Term : a || tf : 2.0 || idf : 2.120263536200091
Term : a2 || tf : 1.0 || idf : 3.2188758248682006
Term : ajar || tf : 10.0 || idf : 0.9162907318741551
Term : aktivitas || tf : 2.0 || idf : 3.2188758248682006
Term : alam || tf : 1.0 || idf : 1.8325814637483102
Term : atasi || tf : 1.0 || idf : 1.8325814637483102
Term : bahas || tf : 1.0 || idf : 1.6094379124341003
Term : balik || tf : 3.0 || idf : 3.2188758248682006
Term : calon || tf : 1.0 || idf : 3.2188758248682006
Term : cari || tf : 1.0 || idf : 2.120263536200091
Term : dasar || tf : 4.0 || idf : 0.9162907318741551
Term : guru || tf : 1.0 || idf : 2.5257286443082556
Term : hasil || tf : 4.0 || idf : 0.17435338714477774
Term : i || tf : 2.0 || idf : 1.8325814637483102
Term : ingkat || tf : 5.0 || idf : 1.4271163556401458
Term : interaksi || tf : 2.0 || idf : 2.5257286443082556
Term : kali || tf : 1.0 || idf : 1.4271163556401458
Term : kelas || tf : 4.0 || idf : 1.2729656758128876
Term : kompetensi || tf : 1.0 || idf : 3.2188758248682006
Term : konsep || tf : 3.0 || idf : 2.5257286443082556
Term : lingkung || tf : 1.0 || idf : 1.6094379124341003
Term : linier || tf : 1.0 || idf : 2.5257286443082556
Term : mahasiswa || tf : 11.0 || idf : 2.120263536200091
Term : masalahmasa || tf : 1.0 || idf : 3.2188758248682006
Term : matakuliah || tf : 1.0 || idf : 2.5257286443082556
Term : matematika || tf : 6.0 || idf : 1.8325814637483102
Term : mater || tf : 3.0 || idf : 1.4271163556401458
Term : materimater || tf : 1.0 || idf : 3.2188758248682006
Term : minat || tf : 2.0 || idf : 2.5257286443082556
Term : muara || tf : 1.0 || idf : 3.2188758248682006
Term : muhammadiyah || tf : 2.0 || idf : 3.2188758248682006
Term : operasi || tf : 2.0 || idf : 3.2188758248682006
Term : optimal || tf : 2.0 || idf : 3.2188758248682006
Term : pgsd || tf : 3.0 || idf : 3.2188758248682006
Term : prinsip || tf : 2.0 || idf : 2.5257286443082556
Term : rancang || tf : 1.0 || idf : 1.8325814637483102
Term : relatif || tf : 1.0 || idf : 3.2188758248682006
Term : rendah || tf : 2.0 || idf : 1.8325814637483102
Term : salah || tf : 2.0 || idf : 1.2729656758128876
Term : salahankesalah || tf : 1.0 || idf : 3.2188758248682006
Term : seko || tf : 2.0 || idf : 2.5257286443082556
Term : semester || tf : 2.0 || idf : 3.2188758248682006
Term : sidoarjo || tf : 2.0 || idf : 3.2188758248682006
Term : siklus || tf : 1.0 || idf : 1.8325814637483102
Term : simpul || tf : 1.0 || idf : 1.4271163556401458
Term : solusi || tf : 1.0 || idf : 3.2188758248682006
Term : tanda || tf : 1.0 || idf : 3.2188758248682006
Term : teliti || tf : 4.0 || idf : 0.17435338714477774
Term : temu || tf : 1.0 || idf : 3.2188758248682006
Term : terap || tf : 3.0 || idf : 3.2188758248682006
Term : tidaksama || tf : 3.0 || idf : 3.2188758248682006
Term : tinda || tf : 1.0 || idf : 2.5257286443082556
Term : tingkat || tf : 2.0 || idf : 1.2729656758128876
Term : tuju || tf : 1.0 || idf : 0.5798184952529422
Term : uasa || tf : 1.0 || idf : 3.2188758248682006
Term : universitas || tf : 2.0 || idf : 3.2188758248682006
