@relation training

@attribute word string
@attribute @kelas@ {jaringan,kcb,komputasi,robotika,rpl}

@data
"hasil dasar tuju tode teliti basis sebab akses ngaruh umpul ",jaringan
"data angkat implementasi teknolog mana internet akses lengkap koneksi area ",jaringan
"teliti hasil aplikasi bangun guna ilik implementasi mudah harap sebab ",jaringan
"sistem uji angkat rancang data basis hasil manual komunikasi server ",jaringan
"teliti uji hasil ilik kembang harap layan dia butuh akses ",jaringan
"informasi proses guna kembang teknolog layan ajar dia butuh bantu ",jaringan
"hasil data basis salah proses teliti dasar sistem angkat implementasi ",jaringan
"teliti tode informasi bangun guna implementasi komputer mudah internet butuh ",jaringan
"sistem hasil bangun tuju komputer cepat gerak bidang terap kerja ",jaringan
"hasil sistem informasi teliti kembang analisis mudah tingkat web tode ",jaringan
"sistem tode hasil basis butuh proses implementasi jaring informasi salah ",jaringan
"hasil sistem basis salah teliti tuju implementasi sesua kembang teknolog ",jaringan
"salah bangun sistem rancang angkat ilik ancang buat jalan tingkat ",jaringan
"hasil tode bangun angkat rancang guna ancang sensor sistem solusi ",jaringan
"bantu bangun rancang analisis komputer mudah informasi mana sulit butuh ",jaringan
"hasil sistem data salah proses aplikasi teliti dasar guna sesua ",jaringan
"hasil sistem tode informasi basis teliti dasar uji guna data ",jaringan
"basis proses aplikasi data implementasi analisis layan dia banding kunci ",jaringan
"salah butuh dasar hasil anfaat server analisa biaya software wireless ",jaringan
"sistem tode butuh proses bantu tuju cari ambil informasi sulit ",jaringan
"tode informasi aplikasi tuju implementasi algoritma proses dukung studi data ",jaringan
"sistem data dasar tuju sesua teknolog komputer mudah sedia tugas ",jaringan
"sistem hasil ilik tode masalah teliti system irim lapang ethernet ",jaringan
"teliti salah aplikasi angkat rancang tuju ilik kembang teknolog analisis ",jaringan
"hasil teliti informasi teknolog ancang ambil web internet terap akses ",jaringan
"teliti salah aplikasi uji angkat implementasi sesua kembang teknolog nila ",jaringan
"hasil data butuh analisis nila cari mana jalan gerak bentuk ",jaringan
"teliti salah sistem guna tuju ilik cari informasi mana jenis ",jaringan
"tode hasil bangun teknolog analisis nila dia masyarakat komunikasi analisa ",jaringan
